FAO_commodity,pooled_commodity,ISSCAAP_division,ISSCAAP_group,group_for_pairing,exvessel_estimated
"Pacific cod, fresh or chilled",Pacific cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Pacific cod, frozen",Pacific cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Pacific cod, meat, frozen",Pacific cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Polar cod, fresh or chilled",Polar cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Polar cod, frozen",Polar cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
Fresh or chilled pollack (Pollachius pollachius),Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
Frozen pollack (Pollachius pollachius),Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe (= Pollock), salted or in brine",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe (=Pollock) fillets in blocks, frozen",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe (=Pollock) fillets, fresh or chilled",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe (=Pollock) fillets, frozen",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe (=Pollock), fresh or chilled",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe (=Pollock), frozen",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe (=Pollock), meat, frozen",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe (=Pollock), minced, frozen",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe (=Pollock), not minced, prepared or preserved",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe, dried, salted or in brine",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Saithe, dried, whether or not salted, but not smoked",Saithe (=Pollock),MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Silver hake, fresh or chilled",Silver hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Silver hake, frozen",Silver hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Chilean hake fillets, fresh or chilled",South Pacific hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Chilean hake, fresh or chilled",South Pacific hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"South Pacific hake fillets, frozen",South Pacific hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"South Pacific hake, frozen",South Pacific hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Southern blue whiting (Micromesistius australis), fresh or chilled",Southern blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Southern blue whiting (Micromesistius australis), frozen",Southern blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Southern blue whiting fillets, fresh or chilled",Southern blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Southern blue whiting fillets, frozen",Southern blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Southern blue whiting, fresh or chilled",Southern blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Southern blue whiting, frozen",Southern blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Southern hake, fresh or chilled",Southern hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Southern hake, frozen",Southern hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Tusk, dried, salted or in brine",Tusk,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Tusk, dried, whether or not salted, but not smoked",Tusk,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Tusk, fresh or chilled",Tusk,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Tusk, frozen",Tusk,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Whiting (Merlangius merlangus), fresh or chilled",Whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Whiting fillets, fresh or chilled",Whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Whiting fillets, frozen",Whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Whiting, fresh or chilled",Whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Whiting, frozen",Whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
Capelin oil,Fish for reduction,MARINE FISHES,Fish for reduction,Fish for reduction,1
"Clupeoid oils, nei",Fish for reduction,MARINE FISHES,Fish for reduction,Fish for reduction,1
"Fish body oils, nei",Fish for reduction,MARINE FISHES,Fish for reduction,Fish for reduction,1
Herring oil,Fish for reduction,MARINE FISHES,Fish for reduction,Fish for reduction,1
Menhaden oil,Fish for reduction,MARINE FISHES,Fish for reduction,Fish for reduction,1
Sardine oil,Fish for reduction,MARINE FISHES,Fish for reduction,Fish for reduction,1
"Fish, crustacean and mollusc products, unfit for human consumption nei",Miscellaneous aquatic animal products,MISCELLANEOUS AQUATIC ANIMAL PRODUCTS,,,0
"Alaska plaice, fresh or chilled",Alaska plaice,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Atlantic halibut, dried, salted or in brine",Atlantic halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Atlantic halibut, dried, whether or not salted",Atlantic halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Atlantic halibut, fresh or chilled",Atlantic halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Atlantic halibut, frozen",Atlantic halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Atlantic halibut, smoked",Atlantic halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Bastard halibut fillets, fresh or chilled",Bastard halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Bastard halibut fillets, frozen",Bastard halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Bastard halibut, fresh or chilled",Bastard halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Bastard halibut, frozen",Bastard halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Common dab, fresh or chilled",Common dab,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Common dab, frozen",Common dab,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Common sole fillets, fresh or chilled",Common sole,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Common sole fillets, frozen",Common sole,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Common sole, fresh or chilled",Common sole,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Common sole, frozen",Common sole,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"European plaice (Pleuronectes platessa), fresh or chilled",European plaice,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"European plaice fillets, fresh or chilled",European plaice,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"European plaice fillets, frozen",European plaice,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"European plaice, fresh or chilled",European plaice,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"European plaice, frozen",European plaice,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfish fillets in blocks, frozen, nei",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfish meat, fresh or chilled, nei",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfish nei, fillets, fresh or chilled",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfish nei, fillets, frozen",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfish nei, frozen",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfish nei, prepared or preserved, not minced",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfish, fresh or chilled, nei",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfish, meat, whether or not minced, frozen",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfish, salted or in brine, nei",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfishes nei, frozen",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfishes nei, salted or in brine",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flatfishes, fresh or chilled, nei",Flatfishes,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flounder fillets, fresh or chilled",Flounder,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flounder fillets, frozen",Flounder,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flounder, fresh or chilled",Flounder,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Flounder, frozen",Flounder,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Greenland halibut fillets, dried, salted or in brine",Greenland halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Greenland halibut fillets, frozen",Greenland halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Greenland halibut, dried, whether or not salted",Greenland halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Greenland halibut, fresh or chilled",Greenland halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Greenland halibut, frozen",Greenland halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Greenland halibut, smoked",Greenland halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Halibut nei, fillets, frozen",Halibuts,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Halibuts nei, fillets, fresh or chilled",Halibuts,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Halibuts nei, frozen",Halibuts,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Halibuts, fresh or chilled, nei",Halibuts,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Halibuts, liver oils",Halibuts,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Lemon sole fillets, fresh or chilled",Lemon sole,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Lemon sole fillets, frozen",Lemon sole,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Lemon sole, fresh or chilled",Lemon sole,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Lemon sole, frozen",Lemon sole,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Megrim fillets, fresh or chilled",Megrim,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Megrim fillets, frozen",Megrim,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Megrim, fresh or chilled",Megrim,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Megrim, frozen",Megrim,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Megrim, meat, whether or not minced, frozen",Megrim,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Pacific halibut, fresh or chilled",Pacific halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Pacific halibut, frozen",Pacific halibut,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Plaice fillets, frozen, nei",Plaices,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Plaices fillets, fresh or chilled, nei",Plaices,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Plaices, fresh or chilled, nei",Plaices,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Plaices, frozen, nei",Plaices,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Sole fillets, fresh or chilled, nei",Soles,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Sole fillets, frozen, nei",Soles,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Soles, fresh or chilled, nei",Soles,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Soles, frozen, nei",Soles,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Turbot fillets, fresh or chilled",Turbot,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Turbot fillets, frozen",Turbot,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Turbot, fresh or chilled",Turbot,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Turbot, frozen",Turbot,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Turbots, frozen",Turbot,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Yellowfin sole, frozen",Yellowfin sole,MARINE FISHES,"Flounders, halibuts, soles","Flounders, halibuts, soles",1
"Anchovies minced, prepared or preserved",Anchovies,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Anchovies nei, dried, salted or in brine",Anchovies,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Anchovies, fillets, prepared or preserved",Anchovies,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Anchovies, fresh or chilled",Anchovies,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Anchovies, frozen",Anchovies,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Anchovies, prepared or preserved, not minced",Anchovies,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Anchovies, salted or in brine",Anchovies,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Anchovies, semi-preserved",Anchovies,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring fillets, fresh or chilled",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring fillets, frozen",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring, dried, salted or in brine",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring, fresh or chilled",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring, frozen",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring, not minced, in oil, prep. or pres.",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring, not minced, marinated, prep. or pres.",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring, not minced, prep. or pres., nei",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring, not minced, smoked in oil, prep. or pres.",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring, not minced, smoked in tomato sauce, prep. or pres.",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Atlantic herring, smoked",Atlantic herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Bonga shad, dried, salted, in brine, or smoked",Bonga shad,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Bonga shad, dried, whether or not salted, but not smoked",Bonga shad,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Brisling or sprats, fresh or chilled",Brisling or sprats,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Brisling or sprats, frozen",Brisling or sprats,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Sprat, prepared or preserved, not minced",Brisling or sprats,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoid nei, fillets, fresh or chilled",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoid nei, fillets, frozen",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids nei, dried, salted or in brine",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids nei, dried, unsalted",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids nei, dried, whether or not salted",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids nei, dried, whether or not salted, but not smoked",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids nei, fillets, dried, salted or in brine",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids nei, fillets, frozen",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids nei, frozen",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids nei, salted or in brine",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids nei, smoked",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids, fillets, fresh or chilled, nei",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids, fresh or chilled, nei",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids, meat, fresh or chilled, nei",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids, meat, whether or not minced, frozen, nei",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids, prep. or pres., not minced, not in airtight containers",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids, prepared or preserved, not minced, nei",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Clupeoids, salted or in brine, nei",Clupeoids,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"European anchovy, dried, salted or in brine",European anchovy,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"European anchovy, dried, whether or not salted, but not smoked",European anchovy,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"European anchovy, salted",European anchovy,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"European sardine , fresh or chilled",European sardine,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"European sardine, frozen",European sardine,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"European sardine, prepared or preserved, not minced, in oil",European sardine,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"European sardine, prepared or preserved, not minced, nei",European sardine,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Flaps of herring, fresh or chilled",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herring fillets, dried, salted or in brine",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herring fillets, incl. coated in batter, cooked or not",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herring kippers, prepared or preserved",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
Herring meal,Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herring meat, frozen",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herring nei, fillets, fresh or chilled",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herring nei, fillets, frozen",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herring roes, cured",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herring roes, frozen",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herring, salted or in brine",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings minced, prepared or preserved",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings nei, dried, salted or in brine",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings nei, frozen",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings nei, smoked",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings prepared or preserved, not minced, nei",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings, dried, whether or not salted",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings, fresh or chilled, nei",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings, not minced, in oil, prepared or preserved",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings, not minced, marinated, prepared or preserved",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings, not minced, pickled, incl. fillets, prep. or pres.",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings, not minced, prep. or pres. in airtight containers, nei",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings, not minced, prep. or pres., not in airtight containers",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Herrings, not minced, smoked, in oil or in tomato sauce, prep. or pres.",Herrings,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pacific herring, fresh or chilled",Pacific herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pacific herring, frozen",Pacific herring,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pilchard fillets, frozen",Pilchards(Sardinops spp.) and Sardinellas,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pilchards (Sardinops spp.), prep. or pres., not minced, in oil",Pilchards(Sardinops spp.) and Sardinellas,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pilchards (Sardinops spp.), prep. or pres., not minced, in tomato sauce",Pilchards(Sardinops spp.) and Sardinellas,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pilchards (Sardinops spp.), prep. or pres., not minced, nei",Pilchards(Sardinops spp.) and Sardinellas,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pilchards(Sardinops spp.) and Sardinellas, fresh or chilled",Pilchards(Sardinops spp.) and Sardinellas,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pilchards(Sardinops spp.) and Sardinellas, frozen",Pilchards(Sardinops spp.) and Sardinellas,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pilchards, dried, salted or in brine",Pilchards(Sardinops spp.) and Sardinellas,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pilchards, dried, unsalted",Pilchards(Sardinops spp.) and Sardinellas,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pilchards, dried, whether or not salted, but not smoked",Pilchards(Sardinops spp.) and Sardinellas,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Pilchards, salted or in brine",Pilchards(Sardinops spp.) and Sardinellas,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Sardines and sprats, smoked","Sardines, sardinellas, brisling or sprats",MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Sardines, sardinellas, brisling or sprats, fresh or chilled","Sardines, sardinellas, brisling or sprats",MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Sardines, sardinellas, brisling or sprats, frozen","Sardines, sardinellas, brisling or sprats",MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, in oil","Sardines, sardinellas, brisling or sprats",MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei","Sardines, sardinellas, brisling or sprats",MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Sardines, sardinellas, sprats minced, prepared or preserved","Sardines, sardinellas, brisling or sprats",MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"South African pilchard, prep. or pres., not minced",South African pilchard,MARINE FISHES,"Herrings, sardines, anchovies","Herrings, sardines, anchovies",1
"Balls, cakes, sausages, etc.prepared from minced fish",Misc. marine fishes,MARINE FISHES,Marine fishes not identified,Marine fishes not identified,1
"Fingers, sticks, prepared with minced fish",Misc. marine fishes,MARINE FISHES,Marine fishes not identified,Marine fishes not identified,1
Fish cakes,Misc. marine fishes,MARINE FISHES,Marine fishes not identified,Marine fishes not identified,1
"Fish crustacean and mollusc products, unfit for human consumption nei",Misc. marine fishes,MARINE FISHES,Marine fishes not identified,Marine fishes not identified,1
"Fish dried, whether or not salted, nei",Misc. marine fishes,MARINE FISHES,Marine fishes not identified,Marine fishes not identified,1
